Logical Record Number,Provider ID,FRN,Provider Name,DBA Name,Holding Company Name,Holding Company Number,Holding Company Final,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
91,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002092,42,1,6,1.5,1
92,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002093,42,1,6,1.5,1
93,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002094,42,1,6,1.5,1
94,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002095,42,1,6,1.5,1
95,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002096,42,1,6,1.5,1
96,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002097,42,1,6,1.5,1
97,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002098,42,1,6,1.5,1
98,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002099,42,1,6,1.5,1
99,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002140,42,1,6,1.5,1
100,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002141,42,1,6,1.5,1
101,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002142,42,1,6,1.5,1
102,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002143,42,1,6,1.5,1
103,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002144,42,1,6,1.5,1
104,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002145,42,1,6,1.5,1
105,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987002146,42,1,6,1.5,1
